Date,Close/Last,Volume,Open,High,Low
07/19/2023,$34.57,514572,$35.25,$35.4199,$34.27
07/18/2023,$34.99,693763,$34.70,$35.17,$34.575
07/17/2023,$34.70,1189815,$34.40,$35.70,$34.40
07/14/2023,$34.60,993906,$34.60,$34.67,$34.1301
07/13/2023,$34.49,625839,$34.09,$34.77,$33.83
07/12/2023,$33.92,726123,$34.87,$34.87,$33.815
07/11/2023,$34.29,692147,$33.92,$34.42,$33.34
07/10/2023,$33.98,1147958,$33.10,$34.12,$32.73
07/07/2023,$33.32,1278059,$34.41,$34.84,$33.01
07/06/2023,$34.54,889749,$34.80,$34.94,$33.82
07/05/2023,$35.15,1420480,$35.10,$35.55,$34.80
07/03/2023,$35.20,604524,$35.66,$35.94,$34.91
06/30/2023,$35.66,1193991,$36.01,$36.045,$35.00
06/29/2023,$35.93,774203,$36.86,$37.15,$35.815
06/28/2023,$36.92,1010400,$36.26,$37.37,$35.49
06/27/2023,$36.08,1307129,$35.50,$36.49,$34.82
06/26/2023,$35.18,634598,$35.15,$35.42,$34.91
06/23/2023,$35.24,992015,$35.21,$35.72,$34.95
06/22/2023,$35.55,476544,$35.58,$35.96,$35.00
06/21/2023,$35.53,775857,$35.48,$35.90,$34.835
06/20/2023,$35.77,1107800,$35.09,$35.98,$34.76
06/16/2023,$35.40,2421367,$36.60,$36.619,$35.22
06/15/2023,$35.74,746968,$35.15,$35.82,$34.53
06/14/2023,$35.34,959598,$35.21,$35.58,$34.76
06/13/2023,$35.25,656210,$35.51,$35.93,$35.16
06/12/2023,$35.38,662545,$35.71,$35.78,$34.89
06/09/2023,$35.32,491747,$35.82,$36.02,$35.08
06/08/2023,$35.70,601559,$36.38,$36.78,$35.56
06/07/2023,$36.46,695499,$36.19,$36.75,$35.38
06/06/2023,$36.12,670118,$35.14,$36.3419,$34.95
06/05/2023,$35.00,710266,$35.49,$36.17,$34.97
06/02/2023,$36.05,942438,$35.49,$36.07,$34.56
06/01/2023,$34.67,1026447,$34.55,$35.20,$33.25
05/31/2023,$34.41,1859325,$32.98,$34.91,$32.91
05/30/2023,$32.78,725241,$33.50,$34.3827,$32.30
05/26/2023,$33.60,794226,$33.56,$33.893,$32.97
05/25/2023,$33.57,1019758,$35.51,$35.61,$33.15
05/24/2023,$35.57,898152,$35.96,$36.06,$35.21
05/23/2023,$36.28,902700,$36.65,$38.55,$36.27
05/22/2023,$36.52,674230,$36.37,$37.10,$36.31
05/19/2023,$36.27,636659,$36.95,$37.18,$36.18
05/18/2023,$36.28,923211,$36.97,$36.97,$35.49
05/17/2023,$37.10,952803,$37.82,$37.82,$36.69
05/16/2023,$37.64,996716,$39.36,$39.38,$37.41
05/15/2023,$39.89,905904,$39.37,$40.89,$39.02
05/12/2023,$39.32,981967,$39.05,$39.44,$38.05
05/11/2023,$40.08,664893,$40.45,$40.54,$39.50
05/10/2023,$40.49,702068,$41.28,$41.28,$39.46
05/09/2023,$40.47,657348,$39.97,$41.00,$39.23
05/08/2023,$40.45,779810,$41.33,$41.36,$39.56
05/05/2023,$41.38,1526245,$40.70,$42.48,$40.475
05/04/2023,$40.05,1502731,$40.22,$40.46,$38.45
05/03/2023,$40.20,2543004,$37.49,$40.70,$36.93
05/02/2023,$35.38,1173838,$35.46,$36.00,$34.58
05/01/2023,$35.72,830322,$35.00,$35.90,$34.49
04/28/2023,$35.41,1100417,$34.79,$36.02,$33.66
04/27/2023,$34.96,1476511,$36.00,$36.08,$34.905
04/26/2023,$35.52,1706122,$34.47,$35.78,$33.11
04/25/2023,$33.58,3632780,$35.02,$36.02,$33.44
04/24/2023,$30.02,630642,$30.70,$31.19,$29.8342
04/21/2023,$30.87,708047,$30.17,$30.90,$30.0474
04/20/2023,$29.92,654900,$30.00,$30.35,$29.66
04/19/2023,$30.46,532261,$30.38,$30.88,$30.16
04/18/2023,$30.40,680111,$31.64,$31.64,$30.095
04/17/2023,$31.34,1051818,$30.87,$31.85,$30.65
04/14/2023,$30.46,966102,$30.47,$31.419,$29.965
04/13/2023,$30.50,1385931,$28.78,$31.41,$28.78
04/12/2023,$28.56,2184318,$27.805,$29.74,$27.43
04/11/2023,$26.23,720107,$25.69,$26.37,$25.69
04/10/2023,$25.51,671206,$26.00,$26.00,$25.225
04/06/2023,$26.17,758223,$25.33,$26.475,$24.92
04/05/2023,$25.27,721005,$25.09,$25.535,$24.77
04/04/2023,$25.16,826654,$25.73,$25.75,$24.64
04/03/2023,$25.56,856603,$25.38,$25.86,$25.1203
03/31/2023,$25.40,1184459,$24.59,$25.5595,$24.43
03/30/2023,$24.43,697216,$24.88,$24.94,$24.05
03/29/2023,$24.74,754405,$24.52,$24.78,$24.1368
03/28/2023,$24.26,697911,$24.25,$24.59,$24.12
03/27/2023,$24.43,1046822,$24.34,$24.81,$24.09
03/24/2023,$24.29,846757,$23.95,$24.33,$23.09
03/23/2023,$23.68,958823,$23.97,$24.40,$23.50
03/22/2023,$23.72,1068000,$24.54,$24.885,$23.68
03/21/2023,$24.60,969805,$25.10,$25.495,$24.56
03/20/2023,$25.06,1423870,$24.39,$25.87,$24.33
03/17/2023,$24.30,2395062,$24.34,$24.39,$23.09
03/16/2023,$24.44,2229306,$25.12,$25.255,$24.19
03/15/2023,$25.32,2017871,$26.755,$26.755,$24.75
03/14/2023,$26.56,1388470,$26.99,$27.87,$26.25
03/13/2023,$26.42,2752767,$26.04,$26.93,$25.70
03/10/2023,$26.31,2064651,$27.59,$27.68,$25.54
03/09/2023,$27.73,1750829,$29.68,$29.90,$27.60
03/08/2023,$29.66,1175130,$30.50,$30.695,$29.20
03/07/2023,$30.50,940560,$30.62,$31.07,$30.22
03/06/2023,$30.79,1288126,$32.44,$32.675,$30.33
03/03/2023,$32.35,1172788,$32.57,$33.15,$32.16
03/02/2023,$32.43,1083958,$32.28,$32.84,$31.51
03/01/2023,$32.66,1125981,$32.45,$32.84,$32.40
02/28/2023,$32.30,924569,$32.45,$33.12,$32.28
02/27/2023,$32.60,682319,$33.05,$33.17,$32.34
02/24/2023,$32.63,866001,$32.10,$32.85,$32.10
02/23/2023,$32.75,666025,$32.90,$33.0737,$32.5175
02/22/2023,$32.85,772464,$31.83,$32.95,$31.775
02/21/2023,$31.77,897529,$33.00,$33.28,$31.29
02/17/2023,$33.75,587198,$33.07,$33.86,$32.50
02/16/2023,$32.97,615996,$33.36,$33.80,$32.94
02/15/2023,$34.05,669351,$33.23,$34.08,$32.7629
02/14/2023,$33.67,905358,$34.48,$35.15,$33.455
02/13/2023,$34.60,688031,$33.24,$34.745,$32.78
02/10/2023,$33.12,814775,$32.99,$33.42,$32.4784
02/09/2023,$33.16,737281,$32.98,$34.075,$32.495
02/08/2023,$32.58,817030,$33.32,$33.92,$32.37
02/07/2023,$33.62,1529615,$33.54,$34.24,$32.06
02/06/2023,$33.51,1650356,$35.37,$35.99,$32.23
02/03/2023,$36.74,615348,$36.36,$37.71,$36.23
02/02/2023,$37.01,726084,$35.75,$37.01,$35.47
02/01/2023,$35.29,768064,$34.85,$35.875,$34.27
01/31/2023,$34.99,854513,$33.51,$35.03,$33.51
01/30/2023,$33.28,807921,$33.20,$33.80,$32.885
01/27/2023,$33.61,427156,$33.29,$34.08,$33.2101
01/26/2023,$33.28,598542,$33.24,$33.76,$32.60
01/25/2023,$32.97,756178,$33.44,$33.82,$32.22
01/24/2023,$33.92,799745,$32.53,$34.15,$32.23
01/23/2023,$32.70,1232755,$33.66,$33.69,$32.28
01/20/2023,$33.76,843790,$34.48,$34.50,$33.14
01/19/2023,$33.93,907829,$35.84,$36.13,$33.90
01/18/2023,$35.99,827960,$37.11,$37.66,$35.64
01/17/2023,$36.91,937663,$36.81,$37.67,$36.17
01/13/2023,$36.82,1037582,$35.99,$37.95,$35.62
01/12/2023,$36.15,938269,$34.36,$36.17,$33.7501
01/11/2023,$34.42,1657748,$33.07,$35.42,$32.4712
01/10/2023,$33.03,1850057,$30.27,$33.05,$29.84
01/09/2023,$30.28,3497428,$30.05,$31.00,$28.52
01/06/2023,$37.38,946399,$37.47,$38.32,$35.58
01/05/2023,$37.09,903384,$37.50,$38.05,$36.77
01/04/2023,$38.08,1075169,$38.80,$38.955,$37.84
01/03/2023,$38.51,1403074,$40.80,$41.03,$36.96
12/30/2022,$40.56,788203,$39.77,$40.62,$39.61
12/29/2022,$40.12,1047887,$38.08,$40.41,$37.59
12/28/2022,$37.56,563198,$38.31,$38.98,$37.18
12/27/2022,$38.12,706070,$38.51,$39.00,$37.90
12/23/2022,$38.30,776768,$38.24,$38.78,$37.1743
12/22/2022,$38.21,1239780,$36.64,$38.25,$36.34
12/21/2022,$37.10,1719784,$33.29,$37.235,$33.05
12/20/2022,$32.94,848655,$31.00,$33.36,$30.98
12/19/2022,$31.07,815726,$31.79,$31.99,$30.01
12/16/2022,$31.77,2446416,$31.00,$32.10,$30.86
12/15/2022,$31.44,665006,$32.34,$32.575,$31.22
12/14/2022,$32.85,606725,$32.79,$33.44,$32.35
12/13/2022,$32.85,782258,$32.88,$33.52,$31.81
12/12/2022,$31.85,759846,$30.39,$31.94,$30.12
12/09/2022,$30.24,771350,$31.34,$31.3499,$30.18
12/08/2022,$31.56,618433,$33.14,$33.34,$31.38
12/07/2022,$32.86,647765,$32.15,$33.06,$31.86
12/06/2022,$32.01,777111,$31.74,$32.11,$31.3201
12/05/2022,$31.82,888081,$33.71,$33.71,$31.19
12/02/2022,$33.93,878802,$31.97,$34.18,$31.37
12/01/2022,$32.02,772669,$32.31,$33.29,$31.80
11/30/2022,$32.20,1568241,$30.62,$32.24,$30.03
11/29/2022,$29.99,1775843,$28.00,$31.70,$27.75
11/28/2022,$28.00,997567,$29.30,$29.69,$28.00
11/25/2022,$29.50,507121,$29.29,$29.81,$29.12
